as_recorded,authorized_label
"Binding: Bound in late eighteenth-century French calf, gilt spine, paper endleaves, printed label inside lower cover Relié à Chartres, chez Hamerville Libraire ruë des trois Mailletsi(as reproduced in Gruel 1905, p. 91); in a green cloth case.|Figurative details, ff. 1- 160: 10 large illuminated initials in ornamental designs of plant stems and some small lions on panels, painted in colors with infilling in burnished gold (fols. 4r, 79r, 89v, 100r, 107v, 119r, 120v, 121v, 125r and 126r, together with a small illuminated initial on fol. 78r).|Other decoration, ff. 1- 160: A few small textual initials in red and blue, running-titles in alternating red and blue letters, each gloss beginning with a paragraph-mark alternating red and blue with trailing penwork decoration embellished with sprays in the contrasting color.|Number of scribes, ff. 1- 160: Three: main scribe, two marginalia hands.|Script, ff. 1- 160: Gothic Textura.|Layout, ff. 1- 160: Collation: i#^1+8# (including original flyleaf, foliated ‘1’), ii–ix#^8#, x#^4#, xi–xv#^8#, xvi#^7# [of 8, blank viii canceled after fol. 124], xvii–xx#^8#, xxi#^4#, with horizontal catchwords; ruled in plummet for 44 lines, with the biblical texts in a central column of varying width (written on alternate ruled lines) and the glosses fitted in interlocking blocks on either side of the biblical text (written on the ruled lines themselves), combined written-space 209 mm. by 133 mm.","Binding: Bound in late eighteenth-century French calf, gilt spine, paper endleaves, printed label inside lower cover Relié à Chartres, chez Hamerville Libraire ruë des trois Mailletsi(as reproduced in Gruel 1905, p. 91); in a green cloth case.|Figurative details, ff. 1- 160: 10 large illuminated initials in ornamental designs of plant stems and some small lions on panels, painted in colors with infilling in burnished gold (fols. 4r, 79r, 89v, 100r, 107v, 119r, 120v, 121v, 125r and 126r, together with a small illuminated initial on fol. 78r).|Other decoration, ff. 1- 160: A few small textual initials in red and blue, running-titles in alternating red and blue letters, each gloss beginning with a paragraph-mark alternating red and blue with trailing penwork decoration embellished with sprays in the contrasting color.|Number of scribes, ff. 1- 160: Three: main scribe, two marginalia hands.|Script, ff. 1- 160: Gothic Textura.|Layout, ff. 1- 160: Collation: i#^1+8# (including original flyleaf, foliated ‘1’), ii–ix#^8#, x#^4#, xi–xv#^8#, xvi#^7# [of 8, blank viii canceled after fol. 124], xvii–xx#^8#, xxi#^4#, with horizontal catchwords;|More on layout: ruled in plummet for 44 lines, with the biblical texts in a central column of varying width (written on alternate ruled lines) and the glosses fitted in interlocking blocks on either side of the biblical text (written on the ruled lines themselves), combined written-space 209 mm. by 133 mm."
"Binding: Bound in late seventeenth-century red morocco, gilt edges, spine gilt, marbled pastedowns, paper flyleaves; in a blue-grey cloth case.|Figurative details, ff. 1-366: 3 historiated initials, showing Pentecost (fol. cliv verso, 5-line), the Crucifixion (fol. ccvi verso, 6-line) and Saint Stephen (fol. cclvi verso, 4-line).|Other decoration, ff. 1-366: Rubrics in red; 2-line initials throughout in alternating blue with red penwork and red with purple penwork; many (Ricketts counted 68) large illuminated initials with fulllength bar borders sprouting into elaborate sprays of coloured and gold foliage in the upper and lower margins.|Script, ff. 1-366: Liturgical textura.|Layout, ff. 1-366: Collation: early flyleaf + i–ii#^4# [both added c. 1500], iii#^6+1# [last leaf added], iv#^10#, v#^9# [of 10, lacking iv, once foliated ‘xiv’], vi–xvi#^10#, xvii#^9# [of 10, lacking iv, once foliated ‘cxxxiv’], xviii–xxii#^10#, xxiii#^13# [text complete but perhaps of 14, with a blank canceled after ‘cxci’], xxiv#^10#, xxv#^2#, xxvi– xxxiv#^10#, xxxv#^9# [of 10, lacking ix, once foliated ‘cccxiv’], xxxvi–xxxviii#^10#, xxxix#^9# [of 10, blank x canceled at end], with horizontal catchwords; medieval foliation (followed here) runs ‘i’–‘cccliv’ (lacking 3 leaves but + 15 unfoliated leaves at the beginning = 366); faint ruling in black, apparently in plummet, 2 columns, 30 lines, each column 222 mm. by 61 mm. with 21 mm. between columns.","Binding: Bound in late seventeenth-century red morocco, gilt edges, spine gilt, marbled pastedowns, paper flyleaves; in a blue-grey cloth case.|Figurative details, ff. 1-366: 3 historiated initials, showing Pentecost (fol. cliv verso, 5-line), the Crucifixion (fol. ccvi verso, 6-line) and Saint Stephen (fol. cclvi verso, 4-line).|Other decoration, ff. 1-366: Rubrics in red; 2-line initials throughout in alternating blue with red penwork and red with purple penwork; many (Ricketts counted 68) large illuminated initials with fulllength bar borders sprouting into elaborate sprays of coloured and gold foliage in the upper and lower margins.|Script, ff. 1-366: Liturgical textura.|Layout, ff. 1-366: Collation: early flyleaf + i–ii#^4# [both added c. 1500], iii#^6+1# [last leaf added], iv#^10#, v#^9# [of 10, lacking iv, once foliated ‘xiv’], vi–xvi#^10#, xvii#^9# [of 10, lacking iv, once foliated ‘cxxxiv’], xviii–xxii#^10#, xxiii#^13# [text complete but perhaps of 14, with a blank canceled after ‘cxci’], xxiv#^10#, xxv#^2#,|More on layout: {collation} xxvi– xxxiv#^10#, xxxv#^9# [of 10, lacking ix, once foliated ‘cccxiv’], xxxvi–xxxviii#^10#, xxxix#^9# [of 10, blank x canceled at end], with horizontal catchwords; medieval foliation (followed here) runs ‘i’–‘cccliv’ (lacking 3 leaves but + 15 unfoliated leaves at the beginning = 366);|More on layout: faint ruling in black, apparently in plummet, 2 columns, 30 lines, each column 222 mm. by 61 mm. with 21 mm. between columns."
"Binding: Bound in massive wooden boards sewn on 7 double thongs, covered with leather, large metal fittings on sides and clusters of large pegs in thickness of all outer edges, stubs of 4 clasps and straps from the fore-edge and upper and lower edges of upper cover with corresponding pins on the lower cover; spine bare; many soft leather markers knotted together and suspended loosely between the pages.|Figurative details, ff.1r-.220v: 17 large historiated initials, showing the Entry into Jerusalem (fol. 1v), the Agony in the Garden (fol. 23v), the Crucifixion (fol. 41r), the sealing of the Tomb of Christ and placing three sentries to guard it (fol. 54v), the Resurrection (fol. 67v), the risen Christ appearing to the apostles (fol. 113v), Christ blessing (fol. 117v), David playing a psaltery (fol. 119v), the Ascension (fol. 126r), Christ blessing in Heaven, between four angels (fol. 133r), Pentecost (fol.143v), Christ blessing (fol. 150v), the apostles preaching in tongues (fol. 154r), the Annunciation (fol. 167r), Saint Peter Martyr, attended by Dominicans, reattaching the severed leg of the young man who had kicked his mother and had cut off his own leg in remorse (fol. 187v), Saint Helen and the Cross (fol. 199v), and the mocking of Christ, illustrating the Crown of Thorns (fol. 207v).|Other decoration, ff.1r-.220v: Rubrics in red, capitals touched in red, small initials in red or blue with penwork in the contrasting color; large and small painted initials throughout in lush floral designs on delicately decorated panels, some very large.|Number of scribes, ff.1r-.220v: one.|Script, ff.1r-.220v: Liturgical textualis.|Music, ff.1r-.220v: Music in black neumes on 4-line red staves.|Layout, ff.1r-.220v: Collation: i–xviii#^8#, xix–xx#^10#, xxi–xxvi#^8#, xxvii#^4+4# [once of 4, last originally blank,with 2 bifolia inserted probably in the late seventeenth century between iii and iv—now fols. 216–19—with the text now continuing through to fol. 220r], with horizontal catchwords (that on fol. 79v within a cartouche shaped like a fish) and a few traces of leaf signatures; ruled in faint plummet, 6 lines of text alternating with 6 of music, written-space 380 mm. by 260 mm.","Binding: Bound in massive wooden boards sewn on 7 double thongs, covered with leather, large metal fittings on sides and clusters of large pegs in thickness of all outer edges, stubs of 4 clasps and straps from the fore-edge and upper and lower edges of upper cover with corresponding pins on the lower cover; spine bare;|More on binding: many soft leather markers knotted together and suspended loosely between the pages.|Figurative details, ff.1r-.220v: 17 large historiated initials, showing the Entry into Jerusalem (fol. 1v), the Agony in the Garden (fol. 23v), the Crucifixion (fol. 41r), the sealing of the Tomb of Christ and placing three sentries to guard it (fol. 54v), the Resurrection (fol. 67v), the risen Christ appearing to the apostles (fol. 113v), Christ blessing (fol. 117v),|More figurative details: { historiated initials} David playing a psaltery (fol. 119v), the Ascension (fol. 126r), Christ blessing in Heaven, between four angels (fol. 133r), Pentecost (fol.143v), Christ blessing (fol. 150v), the apostles preaching in tongues (fol. 154r), the Annunciation (fol. 167r),|More figurative details: {historiated initials}Saint Peter Martyr, attended by Dominicans, reattaching the severed leg of the young man who had kicked his mother and had cut off his own leg in remorse (fol. 187v), Saint Helen and the Cross (fol. 199v), and the mocking of Christ, illustrating the Crown of Thorns (fol. 207v).|Other decoration, ff.1r-.220v: Rubrics in red, capitals touched in red, small initials in red or blue with penwork in the contrasting color; large and small painted initials throughout in lush floral designs on delicately decorated panels, some very large.|Number of scribes, ff.1r-.220v: one.|Script, ff.1r-.220v: Liturgical textualis.|Music, ff.1r-.220v: Music in black neumes on 4-line red staves.|Layout, ff.1r-.220v: Collation: i–xviii#^8#, xix–xx#^10#, xxi–xxvi#^8#, xxvii#^4+4# [once of 4, last originally blank,with 2 bifolia inserted probably in the late seventeenth century between iii and iv—now fols. 216–19—with the text now continuing through to fol. 220r],|More on layout: with horizontal catchwords (that on fol. 79v within a cartouche shaped like a fish) and a few traces of leaf signatures; ruled in faint plummet, 6 lines of text alternating with 6 of music, written-space 380 mm. by 260 mm."
"Binding: Bound in old (perhaps early nineteenth-century) parchment over pasteboards, paper endleaves; in a green cloth case.|Other decoration, ff. 19: fol. 1r, partial alphabet ‘A’–‘F’, red or blue initials with penwork in purple or red; fol. 1v, small decorated alphabet ‘A’–‘X’, at foot of page, “YZ AMEN VIRGO DEI”, similar but smaller; fol. 2r, partial alphabet ‘A’–‘I’, similar but different penwork; fol. 2v blank; fol. 3r, partial alphabet ‘A’–‘H’, elaborate red or blue initials with extensive penwork in red and blue, infilled with liquid gold; fol. 3v, similar, ‘I’–‘Q’; fol. 4r, similar, ‘R’–‘Z’ and ‘Ç’; fol. 4v, border ornament (probably sixteenth century); fol. 5r, small multiple alphabet and panel with “HIESUS” and (probably sixteenth-century) border ornament; fol. 5v, blank; fol. 6r, full-page ‘O’ with extremely extensive coloured penwork; fol. 6v, blank; fol. 7r, panel with “Cristus” (and “Jesus splendor” in ink) with extensive coloured penwork, including micrographic scrolls and roundels, “Jeronimus, Quocies cumque diem illud considero toto corpore contremischo sine . . .”, “Augustinus, Multa corpora sanctorum venerant in terris quorum anime . . .” and “Qui cristum bene scit, satis est si plurima nescit, Hoc est nescere sine cristo plurima scire”; fol. 7v, blank; fol. 8r, initials ‘D’ + ‘E’ + ‘U’ + ‘S’ with penwork; fol. 8v, blank; fol. 9r, partial alphabet ‘A’–‘F’; fol. 9v, blank; fol. 10r, partial alphabet ‘G’–‘M’; fol. 10v, blank; fol. 11r, partial alphabet ‘A’–‘D’, with penwork; fol. 11v, blank; fol. 12r, large initial ‘S’, with extensive penwork; folio 12v, initials ‘D’ + ‘I’ + ‘O’ with extensive penwork; fol. 13r, design for a page with an initial ‘F’ and a full penwork border, inscribed around the roundel at foot, “Guinifortus de vicomerchato mediolanensis fecit hoc opus 1450 die primo aug[ust]i”; fol. 13v, blank; fol. 14r, “MARIA VIRGO” with extensive penwork; fol. 14v, blank; fol. 15r, designs for two decorated pages of Books of Hours, both showing openings of Matins in the Hours of the Virgin according to the Use of Rome; fol. 15v, border ornament (probably sixteenth-century); fol. 16r, two borders (probably sixteenth-century), one with a putto holding jewels above his head; fol. 16v, large initial ‘Q’ including the name left in white, “BASILIUS DE GALLIS”; fol. 17r, large initial ‘M’; fol. 17v, border ornament (probably sixteenth century); fol. 18r, unfinished initial ‘N’; fol. 18v, borders (probably sixteenth-century); fol. 19r, ornamental “Omnia que fecisti nobis domine in vero [iudicio]” [introit for the twentieth Sunday after Pentecost]; fol. 19v, partial alphabet ‘A’–‘E’.|Layout, ff. 19: Collation: i#^8, iii#^7# [of 8, lacking viii, after fol. 15], iii#^4# [of 6, lacking iv–v, after fol. 18].","Binding: Bound in old (perhaps early nineteenth-century) parchment over pasteboards, paper endleaves; in a green cloth case.|Other decoration, ff. 19: fol. 1r, partial alphabet ‘A’–‘F’, red or blue initials with penwork in purple or red; fol. 1v, small decorated alphabet ‘A’–‘X’, at foot of page, “YZ AMEN VIRGO DEI”, similar but smaller; fol. 2r, partial alphabet ‘A’–‘I’, similar but different penwork; fol. 2v blank;|More figurative details: fol. 3r, partial alphabet ‘A’–‘H’, elaborate red or blue initials with extensive penwork in red and blue, infilled with liquid gold; fol. 3v, similar, ‘I’–‘Q’; fol. 4r, similar, ‘R’–‘Z’ and ‘Ç’; fol. 4v, border ornament (probably sixteenth century);|More figurative details: fol. 5r, small multiple alphabet and panel with “HIESUS” and (probably sixteenth-century) border ornament; fol. 5v, blank; fol. 6r, full-page ‘O’ with extremely extensive coloured penwork; fol. 6v, blank; fol. 7r, panel with “Cristus” (and “Jesus splendor” in ink) with extensive coloured penwork, including micrographic scrolls and roundels,|More figurative details: “Jeronimus, Quocies cumque diem illud considero toto corpore contremischo sine . . .”, “Augustinus, Multa corpora sanctorum venerant in terris quorum anime . . .” and “Qui cristum bene scit, satis est si plurima nescit, Hoc est nescere sine cristo plurima scire”; fol. 7v, blank; fol. 8r, initials ‘D’ + ‘E’ + ‘U’ + ‘S’ with penwork;|More figurative details: fol. 8v, blank; fol. 9r, partial alphabet ‘A’–‘F’; fol. 9v, blank; fol. 10r, partial alphabet ‘G’–‘M’; fol. 10v, blank; fol. 11r, partial alphabet ‘A’–‘D’, with penwork; fol. 11v, blank; fol. 12r, large initial ‘S’, with extensive penwork; folio 12v, initials ‘D’ + ‘I’ + ‘O’ with extensive penwork;|More figurative details: fol. 13r, design for a page with an initial ‘F’ and a full penwork border, inscribed around the roundel at foot, “Guinifortus de vicomerchato mediolanensis fecit hoc opus 1450 die primo aug[ust]i”; fol. 13v, blank; fol. 14r, “MARIA VIRGO” with extensive penwork; fol. 14v, blank;|More figurative details: fol. 15r, designs for two decorated pages of Books of Hours, both showing openings of Matins in the Hours of the Virgin according to the Use of Rome; fol. 15v, border ornament (probably sixteenth-century); fol. 16r, two borders (probably sixteenth-century), one with a putto holding jewels above his head;|More figurative details: fol. 16v, large initial ‘Q’ including the name left in white, “BASILIUS DE GALLIS”; fol. 17r, large initial ‘M’; fol. 17v, border ornament (probably sixteenth century); fol. 18r, unfinished initial ‘N’;|More figurative details: fol. 18v, borders (probably sixteenth-century); fol. 19r, ornamental “Omnia que fecisti nobis domine in vero [iudicio]” [introit for the twentieth Sunday after Pentecost]; fol. 19v, partial alphabet ‘A’–‘E’.|Layout, ff. 19: Collation: i#^8, iii#^7# [of 8, lacking viii, after fol. 15], iii#^4# [of 6, lacking iv–v, after fol. 18]."
"Binding: Bound in old (probably seventeenth-century) calf over wooden boards, rebacked and extensively repaired, clasps and catches probably replaced; in a fawn cloth case.|Figurative details, ff. 287: 3 large illuminated initials in elaborate floral designs (fols. 142r, 230v and 249v); ten large historiated initials and one miniature, showing Christ in Judgement (fol. 74r, 13-line historiated initial), Christ showing his wounds to Saint Thomas (fol. 123v, 9-line miniature), the Resurrection (fol. 124r, 13-line historiated initial), the Holy Dove (fol. 136v, 11-line historiated initial), the Annunciation (fol. 159r, 13-line historiated initial), Saints Peter and Paul (fol. 185v, 13-line historiated initial), the Noli me tangere (fol. 195v, 12-line historiated initial), the Assumption of the Virgin (fol. 209r, 12-line historiated initial), Saint Augustine and a child pointing to the sea (fol. 214v, 11-line historiated initial), Saint Anne (fol. 218r, 11-line historiated initial) and Saints Simon and Jude (fol. 229r, 12-line historiated initial).|Other decoration, ff. 287: Rubrics in red; large and small initials throughout in red and blue, many large and very large initials with decorative penwork, sometimes of great complexity (e.g., fol. 240v, with marginal banderoles, or fol. 258v, including a heart pierced with two arrows).|Script, ff. 287: Gothic Textura.|Layout, ff. 287: Collation: flyleaf +i–xxv#^8#, xxvi#^8+1# [fol. 209 added, including a miniature], xxvii–xxv#^8#, xxvi#^6# + 4 flyleaves; ruled in black ink, 18 lines, written-space 88 mm. by 54 mm., written in brown ink.","Binding: Bound in old (probably seventeenth-century) calf over wooden boards, rebacked and extensively repaired, clasps and catches probably replaced; in a fawn cloth case.|Figurative details, ff. 287: 3 large illuminated initials in elaborate floral designs (fols. 142r, 230v and 249v); ten large historiated initials and one miniature, showing Christ in Judgement (fol. 74r, 13-line historiated initial), Christ showing his wounds to Saint Thomas (fol. 123v, 9-line miniature), the Resurrection (fol. 124r, 13-line historiated initial),|More figurative details: the Holy Dove (fol. 136v, 11-line historiated initial), the Annunciation (fol. 159r, 13-line historiated initial), Saints Peter and Paul (fol. 185v, 13-line historiated initial), the Noli me tangere (fol. 195v, 12-line historiated initial), the Assumption of the Virgin (fol. 209r, 12-line historiated initial),|More figurative details: Saint Augustine and a child pointing to the sea (fol. 214v, 11-line historiated initial), Saint Anne (fol. 218r, 11-line historiated initial) and Saints Simon and Jude (fol. 229r, 12-line historiated initial).|Other decoration, ff. 287: Rubrics in red; large and small initials throughout in red and blue, many large and very large initials with decorative penwork, sometimes of great complexity (e.g., fol. 240v, with marginal banderoles, or fol. 258v, including a heart pierced with two arrows).|Script, ff. 287: Gothic Textura.|Layout, ff. 287: Collation: flyleaf +i–xxv#^8#, xxvi#^8+1# [fol. 209 added, including a miniature], xxvii–xxv#^8#, xxvi#^6# + 4 flyleaves; ruled in black ink, 18 lines, written-space 88 mm. by 54 mm., written in brown ink."
"Binding: Bound in quarter black morocco and blue cloth boards; in a fawn cloth case.|Figurative details, ff. 1-42: One- to 5-line illuminated initials throughout, with three-quarter illuminated borders round every text page; ten large miniatures above 6 lines of text and within full borders, showing Saint Margaret emerging from the dragon (fol. 4v, suffrage), Saint Christopher carrying the Christ Child (fol. 5v, suffrage), Saint Katherine (fol. 6v, suffrage), the Agony in the Garden (fol. 7v, Matins), the Arrest of Christ (fol. 8r,Lauds), Adam and Eve beside the Tree of Knowledge with the Crucifixion in its branches (fol. 19r, prayers to the image of Christ), the Last Judgement (fol. 26r, Penitential Psalms), a funeral service (fol. 40r, Office of the Dead), Christ as the Man of Sorrows (fol. 41r, Psalms of the Passion) and Saint Jerome taking a thorn out of the lion’s foot (fol. 42v, Psalter of Saint Jerome).|Other decoration, ff. 1-42: Rubrics in red.|Script, ff. 1-42: Liturgical textura.|Layout, ff. 1-42: Ruled in red ink, 21 lines, written-space 120 mm. by 83 mm., written in brown ink.","Binding: Bound in quarter black morocco and blue cloth boards; in a fawn cloth case.|Figurative details, ff. 1-42: One- to 5-line illuminated initials throughout, with three-quarter illuminated borders round every text page; ten large miniatures above 6 lines of text and within full borders, showing Saint Margaret emerging from the dragon (fol. 4v, suffrage), Saint Christopher carrying the Christ Child (fol. 5v, suffrage), Saint Katherine (fol. 6v, suffrage),|More figurative details: {initials} the Agony in the Garden (fol. 7v, Matins), the Arrest of Christ (fol. 8r,Lauds), Adam and Eve beside the Tree of Knowledge with the Crucifixion in its branches (fol. 19r, prayers to the image of Christ), the Last Judgement (fol. 26r, Penitential Psalms),|More figurative details: {initials} a funeral service (fol. 40r, Office of the Dead), Christ as the Man of Sorrows (fol. 41r, Psalms of the Passion) and Saint Jerome taking a thorn out of the lion’s foot (fol. 42v, Psalter of Saint Jerome).|Other decoration, ff. 1-42: Rubrics in red.|Script, ff. 1-42: Liturgical textura.|Layout, ff. 1-42: Ruled in red ink, 21 lines, written-space 120 mm. by 83 mm., written in brown ink."
"Binding: Bound in seventeenth- or eighteenth-century vellum over pasteboards, paper pastedowns, spine title in manuscript Psalterium Vaticanum in a grey cloth case.|Other decoration, ff. 1-108: Capitals touched in red, 2-line initials throughout in red, a few other colours added (e.g., on fols. 71r, 73v and 80r); eight large decorated initials (fol. 10r, Domine in virtute, psalm 20; fol. 17r, Gaudere iusti, for Exsultate iusti, psalm 32; fol. 27r, Deus noster refugium, psalm 45; fol. 34v, Deus repulisti, psalm 59; fol. 44r, Ut quid, psalm 73; fol. 53r, Inclina, psalm 85; fol. 60v, Domine exaudi, psalm 101; and fol. 69v, Dicit for Dixit, psalm 109), mostly 6 lines high in elaborate spiralling leafy and petal designs in ink infilled with colours, sometimes with dragon or lion heads.|Script, ff. 1-108: Beneventan.|Layout, ff. 1-108: Ruled apparently in plummet, 24 lines (fols. 73– 74 and most leaves from fol. 96 onwards with 26 lines), written-space 180 mm. by 93 mm., text beginning above top line.","Binding: Bound in seventeenth- or eighteenth-century vellum over pasteboards, paper pastedowns, spine title in manuscript Psalterium Vaticanum in a grey cloth case.|Other decoration, ff. 1-108: Capitals touched in red, 2-line initials throughout in red, a few other colours added (e.g., on fols. 71r, 73v and 80r); eight large decorated initials (fol. 10r, Domine in virtute, psalm 20; fol. 17r, Gaudere iusti, for Exsultate iusti, psalm 32; fol. 27r, Deus noster refugium, psalm 45; fol. 34v, Deus repulisti, psalm 59; fol. 44r,|More decorations: {decorated initials} Ut quid, psalm 73; fol. 53r, Inclina, psalm 85; fol. 60v, Domine exaudi, psalm 101; and fol. 69v, Dicit for Dixit, psalm 109), mostly 6 lines high in elaborate spiralling leafy and petal designs in ink infilled with colours, sometimes with dragon or lion heads.|Script, ff. 1-108: Beneventan.|Layout, ff. 1-108: Ruled apparently in plummet, 24 lines (fols. 73– 74 and most leaves from fol. 96 onwards with 26 lines), written-space 180 mm. by 93 mm., text beginning above top line."
"Binding: Bound, s. XVI, in blind stamped leather over wooden boards, with 7 metal bosses (missing the one that would have been on the back cover, lower outer corner), and with one remaining central boss; formerly with two fore edge tabs closing to pins on the back cover.|Other decoration, ff. 1-421v: Pen decoration in red, blue and occasionally blue, pink and green. Initials in red, black or blue.|Script, ff. 1-421v: Gothic.|Music, ff. 1-421v: Red 4-line staves with square black notation; occasional added text and music in the margin using Hufnagelschrift notation.|Layout, ff. 1-421v: Parchment of less than optimal quality originally, and quite worn and repaired in later times. Quires mainly of 12 leaves, the first 6 numbered in the center of the last verso (ff. 10v, 23v, 34v, 46v, 70v); occasional catchwords cented in the lower margin of the last verso (eg. ff. 70v, 269v); early modern quire and leaf signatures with letters of the alphabet and a mixture of arabic and roman numerals for the leaf on all 37 quires: a-z, then Aa-Oo for another 13 quires. 36 or 37 long lines of script (when there is no music) or 12 lines of music (when there is no text), and combinations of these.","Binding: Bound, s. XVI, in blind stamped leather over wooden boards, with 7 metal bosses (missing the one that would have been on the back cover, lower outer corner), and with one remaining central boss; formerly with two fore edge tabs closing to pins on the back cover.|Other decoration, ff. 1-421v: Pen decoration in red, blue and occasionally blue, pink and green. Initials in red, black or blue.|Script, ff. 1-421v: Gothic.|Music, ff. 1-421v: Red 4-line staves with square black notation; occasional added text and music in the margin using Hufnagelschrift notation.|Layout, ff. 1-421v: Parchment of less than optimal quality originally, and quite worn and repaired in later times. Quires mainly of 12 leaves, the first 6 numbered in the center of the last verso (ff. 10v, 23v, 34v, 46v, 70v); occasional catchwords cented in the lower margin of the last verso (eg. ff. 70v, 269v);|More layout: early modern quire and leaf signatures with letters of the alphabet and a mixture of arabic and roman numerals for the leaf on all 37 quires: a-z, then Aa-Oo for another 13 quires. 36 or 37 long lines of script (when there is no music) or 12 lines of music (when there is no text), and combinations of these."
"Binding: Not bound.|Figurative details, 5 cuttings: Multiple-shaped compartments of blue and gold acanthus leaves on blue or plain grounds dotted in black, or of coloured flowers on liquid gold grounds dotted in black, one with a bird, (a) vertical, a left-hand margin, 371 mm. by 59 mm., including the letter ‘A’ in rustic design in gold enclosing the heraldic ermine of Brittany, verso with the extreme ends of musical staves in red, each 14 mm. apart and 45 mm. between lines of music, (b) horizontal, an upper margin, formerly joined at the corner with the previous piece, 47 mm. by 265 mm., including the letters ‘L’ and ‘A’ in rustic designs in gold, (c) vertical, 524 mm. by 63 mm., (d) vertical, 319 mm. by 53 mm., including the royal arms of France surmounted by a crown and two panels with alternating lozenges of the fleur-de-lys of France and the ermine of Brittany, and (e) vertical, 510 mm. by 49 mm., including the letter ‘L’ in rustic design in red threaded through a gold crown, the letter ‘A’ in rustic design in red surmounted by a gold crown and enclosing the ermine of Brittany, and the royal arms of France surmounted by a crown and two triangular compartments with alternating lozenges of the fleur-de-lys and ermine; all but (b) blank on versos.|Music, 5 cuttings: Evidence of muscial staves.|Layout, 5 cuttings: Five strips of border ornament.","Binding: Not bound.|Figurative details, 5 cuttings: Multiple-shaped compartments of blue and gold acanthus leaves on blue or plain grounds dotted in black, or of coloured flowers on liquid gold grounds dotted in black, one with a bird, (a) vertical, a left-hand margin, 371 mm. by 59 mm., including the letter ‘A’ in rustic design in gold enclosing the heraldic ermine of Brittany,|More figurative details: {cutting} verso with the extreme ends of musical staves in red, each 14 mm. apart and 45 mm. between lines of music, (b) horizontal, an upper margin, formerly joined at the corner with the previous piece, 47 mm. by 265 mm., including the letters ‘L’ and ‘A’ in rustic designs in gold, (c) vertical, 524 mm. by 63 mm., (d) vertical, 319 mm. by 53 mm.,|More figurative details: {cutting} including the royal arms of France surmounted by a crown and two panels with alternating lozenges of the fleur-de-lys of France and the ermine of Brittany, and (e) vertical, 510 mm. by 49 mm., including the letter ‘L’ in rustic design in red threaded through a gold crown,|More figurative details: {cutting} the letter ‘A’ in rustic design in red surmounted by a gold crown and enclosing the ermine of Brittany, and the royal arms of France surmounted by a crown and two triangular compartments with alternating lozenges of the fleur-de-lys and ermine; all but (b) blank on versos.|Music, 5 cuttings: Evidence of muscial staves.|Layout, 5 cuttings: Five strips of border ornament."
"Binding: Not bound.|Figurative details, leaves a-d: 2- to 4-line initials in gothic leafy designs in colours and burnished gold on panelled grounds, with full ivyleaf bar borders, including dragons; five columnwidth miniatures, 10 lines high, showing the Crucifixion (original fol. 100v), the Nativity of the Virgin (original fol. 45r), Saint Helen finding the True Cross (original fol. 45v), Saint Michael vanquishing the Devil (original fol. 49r) and the martyrdom of Saint Andrew (original fol. 57r); some wear.|Other decoration, leaves a-d: Headings in red, original folio numbers (in roman numerals) and versal capitals in alternating blue with red penwork and burnished gold with dark blue penwork.|Script, leaves a-d: Gothic Textualis.|Layout, leaves a-d: 2 columns, ruled apparently in pale brown ink, 32 lines, each column 237 mm. by 74 mm., with 21 mm. between columns; written in brown ink.","Binding: Not bound.|Figurative details, leaves a-d: 2- to 4-line initials in gothic leafy designs in colours and burnished gold on panelled grounds, with full ivyleaf bar borders, including dragons; five columnwidth miniatures, 10 lines high, showing the Crucifixion (original fol. 100v), the Nativity of the Virgin (original fol. 45r),|More figurative details: {initials} Saint Helen finding the True Cross (original fol. 45v), Saint Michael vanquishing the Devil (original fol. 49r) and the martyrdom of Saint Andrew (original fol. 57r); some wear.|Other decoration, leaves a-d: Headings in red, original folio numbers (in roman numerals) and versal capitals in alternating blue with red penwork and burnished gold with dark blue penwork.|Script, leaves a-d: Gothic Textualis.|Layout, leaves a-d: 2 columns, ruled apparently in pale brown ink, 32 lines, each column 237 mm. by 74 mm., with 21 mm. between columns; written in brown ink."
